"Metabolite.name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Sulfolactic Acid",0.00527725306726949,0.000864117256362042,0.0141742507579228,0.0158317592018085,0.00259235176908613,0.0425227522737684,0.0000127660048152686,0.000000956092551135095,0.000033167189589781
"Sulfoacetic Acid",0.00386839375429528,0.000692953826860323,0.0128863496810595,0.00773678750859056,0.00138590765372065,0.0257726993621189,0.00000321160071721555,0.00000162300679244636,0.0000163076773054387
"Sucrose",0.0991597674424737,0.00086640933905001,0.368682144392312,1.18991720930968,0.0103969120686001,4.42418573270775,0.000650970851223185,0.0000206297523988445,0.00450665651330336
"Succinic semialdehyde",0.0000553464253955969,0.000012475659235472,0.000238557856286695,0.000221385701582388,0.000049902636941888,0.000954231425146779,0.000000197238522587168,0.000000036869594132254,0.00000288428712713511
"Succinic Acid",0.0441527990584726,0.0214292864665955,0.068808022539048,0.176611196233891,0.085717145866382,0.275232090156192,0.000173683839045789,0.0000414931739606747,0.000831924367288454
"Stachydrine hydrochloride",0.00835968949616493,0.0017313369388318,0.0288650997462672,0.0585178264731545,0.0121193585718226,0.20205569822387,0.0000589500806041605,0.0000103423013980519,0.000205822197227997
"Shikimic Acid",0.00294501849735471,0.000516122086758569,0.102522567734493,0.020615129481483,0.00361285460730998,0.717657974141454,0.0000236629281543832,0.00000141388269802925,0.00124386177875837
"Serine",0.0866467742993298,0.0276668062741018,0.25090765722287,0.259940322897989,0.0830004188223053,0.752722971668611,0.000260294119467293,0.0000643331433436191,0.000849541162896331
"Sarcosine",0.0346900757011657,0.00488466524559111,0.14604513273973,0.104070227103497,0.0146539957367733,0.438135398219189,0.0000927140829156805,0.0000238932563769047,0.000367934357595725
"Salicylic Acid",0.000735575918704831,0.000204542979729135,0.0049592960815443,0.00514903143093382,0.00143180085810395,0.0347150725708101,0.00000492204118869555,0.00000101408202791332,0.0000587519426481739
"Resorcylic Acid",0.0000746913289287892,0.0000187212219207369,0.000156676144303312,0.000522839302501525,0.000131048553445159,0.00109673301012318,0.0000005305577661512,0.000000108718984275507,0.00000189916178614835
"Propionyl-L-carnitine",0.000440521614640835,0.000105636509439513,0.00141231180159187,0.00440521614640836,0.00105636509439513,0.0141231180159187,0.00000512820561053799,0.00000100877202030981,0.0000112107013149763
"Propanesulfonate",0.0000588855190703072,0.0000192213780245303,0.000173437460002447,0.000176656557210922,0.0000576641340735909,0.000520312380007341,0.000000163487516115129,0.0000000441616172300996,0.00000143954486448532
"Proline",0.0669205262744494,0.0157650393041706,0.2829611796099,0.334602631372247,0.0788251965208531,1.4148058980495,0.000345986401737909,0.000102192415596953,0.00112959171269897
"PQS",0.000504592358204261,0.0000276328803142749,0.00584207205680934,0.00807347773126817,0.000442126085028399,0.0934731529089494,0.00000820538468025689,0.000000460947522039468,0.0000873514152144677
"Oxalic Acid",0.0515075388471544,0.0105194806152779,0.32549372466968,0.103015077694309,0.0210389612305558,0.650987449339361,0.000110817016638706,0.00000559854300316817,0.00161389306265672
"Orotic Acid",0.0000935352867235085,0.00000465005682166061,0.00172229824798643,0.000467676433617543,0.000023250284108303,0.00861149123993214,0.000000452888623237804,0.0000000250111651473986,0.00000898743653168916
"Ornithine",0.0123935898095241,0.00259552438141734,0.0622138880328237,0.0619679490476203,0.0129776219070867,0.311069440164119,0.0000583500810302383,0.000016924646593393,0.000306971508989152
"Ophthalmic Acid",0.000359527147904739,0.0000255275535138888,0.0023118504311196,0.00395479862695212,0.000280803088652777,0.0254303547423156,0.0000033440536669468,0.000000218537559276598,0.0000288110291936318
"N(e)-Acetyl-Lysine",0.0192299895913322,0.00543387381230866,1.38807067786357,0.153839916730657,0.0434709904984693,11.1045654229085,0.000281385341773384,0.0000353876402902973,0.00921244105227573
"N-methyltaurine",0.00749223030690166,0.00235237597160546,1.76537238951773,0.022476690920705,0.00705712791481638,5.2961171685532,0.0000258943187321061,0.00000493289624391148,0.00426347352629089
"N-acetyltaurine",0.0000482808371126223,0.0000211647438566613,0.00245260074588377,0.000193123348450489,0.0000846589754266452,0.00981040298353507,0.000000205699465699674,0.0000000599337852265879,0.00000750554228671019
"Methylmalonyl carnitine",0.00000416448316593205,0.00000114203091414559,0.000294702507821482,0.0000458093148252525,0.0000125623400556015,0.0032417275860363,0.0000000572212154892529,0.0000000106560049282203,0.00000319902208424043
"Methionine Sulfoxide",0.00912272995303647,0.00140217061509648,0.0333205072844754,0.0456136497651824,0.0070108530754824,0.166602536422377,0.0000551912793397541,0.00000491383575858808,0.000188490742927469
"Methionine",0.00543970688477611,0.000171978122681706,0.0311686100784674,0.0271985344238805,0.000859890613408528,0.155843050392337,0.0000248655558411795,0.0000013153461663673,0.000130872814351277
"MESNA (Sodium 2-mercaptoethanesulfonate)",0.0470090232381599,0.000609527053192103,0.205028386871073,0.0940180464763198,0.00121905410638421,0.410056773742145,0.0000852382460403065,0.00000148608775685616,0.000880438450439855
"Melamine",0.000738647407201951,0.0000245791708351443,0.00439476090620185,0.00221594222160585,0.000073737512505433,0.0131842827186056,0.00000240598134711887,0.0000000593600788003976,0.000014351575580747
"Malic Acid",0.0193093609452235,0.00496840095876991,0.0696632388794876,0.0772374437808938,0.0198736038350796,0.27865295551795,0.0000753384982907,0.0000145116435492332,0.000285791257379537
"Lysine",0.0581153520576999,0.0236639287130463,0.135126695886785,0.348692112346199,0.141983572278278,0.810760175320713,0.000380325008050064,0.0000920462464739245,0.00103914825544364
"Leucine",0.372946943708032,0.131670029666105,0.766672466249379,2.23768166224819,0.790020177996633,4.60003479749627,0.00227748555090797,0.000377460128723079,0.00384229619379506
"Ketoglutaric Acid",0.00469579126684872,0.000271902689415677,0.0210739384469479,0.0234789563342436,0.00135951344707839,0.105369692234739,0.0000222216027310815,0.00000137221087532767,0.0000996485607982612
"Isethionic Acid",0.0742108703524039,0.00899661750759564,14.7695180735577,0.148421740704808,0.0179932350151913,29.5390361471155,0.000121718426708557,0.0000327705926520143,0.0237794774166185
